t,m,j,value
1837,Ni,machinery_and_equipment,
1837,Ni,motor_vehicles_trailers_and_semi_trailers,
1837,Ni,other_transport_equipment,
1837,Ni,products_nec,
1837,Sn,construction,
1837,Sn,computers_and_precision_instruments,
1837,Sn,electrical_equipment,
1837,Sn,machinery_and_equipment,
1837,Sn,motor_vehicles_trailers_and_semi_trailers,
1837,Sn,other_transport_equipment,
1837,Sn,products_nec,
1838,Zn,construction,
1838,Zn,computers_and_precision_instruments,
1838,Zn,electrical_equipment,
1838,Zn,machinery_and_equipment,
1838,Zn,motor_vehicles_trailers_and_semi_trailers,
1838,Zn,other_transport_equipment,
1838,Zn,products_nec,
1838,Ni,construction,
1838,Ni,computers_and_precision_instruments,
1838,Ni,electrical_equipment,
1838,Ni,machinery_and_equipment,
1838,Ni,motor_vehicles_trailers_and_semi_trailers,
1838,Ni,other_transport_equipment,
1838,Ni,products_nec,
1838,Sn,construction,
1838,Sn,computers_and_precision_instruments,
1838,Sn,electrical_equipment,
1838,Sn,machinery_and_equipment,
1838,Sn,motor_vehicles_trailers_and_semi_trailers,
1838,Sn,other_transport_equipment,
1838,Sn,products_nec,
1839,Zn,construction,
1839,Zn,computers_and_precision_instruments,
1839,Zn,electrical_equipment,
1839,Zn,machinery_and_equipment,
1839,Zn,motor_vehicles_trailers_and_semi_trailers,
1839,Zn,other_transport_equipment,
1839,Zn,products_nec,
1839,Ni,construction,
1839,Ni,computers_and_precision_instruments,
1839,Ni,electrical_equipment,
1839,Ni,machinery_and_equipment,
1839,Ni,motor_vehicles_trailers_and_semi_trailers,
1839,Ni,other_transport_equipment,
1839,Ni,products_nec,
1839,Sn,construction,
1839,Sn,computers_and_precision_instruments,
1839,Sn,electrical_equipment,
1839,Sn,machinery_and_equipment,
1839,Sn,motor_vehicles_trailers_and_semi_trailers,
1839,Sn,other_transport_equipment,
1839,Sn,products_nec,
1840,Zn,construction,
1840,Zn,computers_and_precision_instruments,
1840,Zn,electrical_equipment,
1840,Zn,machinery_and_equipment,
1840,Zn,motor_vehicles_trailers_and_semi_trailers,
1840,Zn,other_transport_equipment,
1840,Zn,products_nec,
1840,Ni,construction,
1840,Ni,computers_and_precision_instruments,
1840,Ni,electrical_equipment,
1840,Ni,machinery_and_equipment,
1840,Ni,motor_vehicles_trailers_and_semi_trailers,
1840,Ni,other_transport_equipment,
1840,Ni,products_nec,
1840,Sn,construction,
1840,Sn,computers_and_precision_instruments,
1840,Sn,electrical_equipment,
1840,Sn,machinery_and_equipment,
1840,Sn,motor_vehicles_trailers_and_semi_trailers,
1840,Sn,other_transport_equipment,
1840,Sn,products_nec,
1841,Zn,construction,
1841,Zn,computers_and_precision_instruments,
1841,Zn,electrical_equipment,
1841,Zn,machinery_and_equipment,
1841,Zn,motor_vehicles_trailers_and_semi_trailers,
1841,Zn,other_transport_equipment,
1841,Zn,products_nec,
1841,Ni,construction,
1841,Ni,computers_and_precision_instruments,
1841,Ni,electrical_equipment,
1841,Ni,machinery_and_equipment,
1841,Ni,motor_vehicles_trailers_and_semi_trailers,
1841,Ni,other_transport_equipment,
1841,Ni,products_nec,
1841,Sn,construction,
1841,Sn,computers_and_precision_instruments,
1841,Sn,electrical_equipment,
1841,Sn,machinery_and_equipment,
1841,Sn,motor_vehicles_trailers_and_semi_trailers,
1841,Sn,other_transport_equipment,
1841,Sn,products_nec,
1842,Zn,construction,
1842,Zn,computers_and_precision_instruments,
1842,Zn,electrical_equipment,
1842,Zn,machinery_and_equipment,
1842,Zn,motor_vehicles_trailers_and_semi_trailers,
1842,Zn,other_transport_equipment,
1842,Zn,products_nec,
1842,Ni,construction,
1842,Ni,computers_and_precision_instruments,
1842,Ni,electrical_equipment,
1842,Ni,machinery_and_equipment,
1842,Ni,motor_vehicles_trailers_and_semi_trailers,
1842,Ni,other_transport_equipment,
1842,Ni,products_nec,
1842,Sn,construction,
1842,Sn,computers_and_precision_instruments,
1842,Sn,electrical_equipment,
1842,Sn,machinery_and_equipment,
1842,Sn,motor_vehicles_trailers_and_semi_trailers,
1842,Sn,other_transport_equipment,
1842,Sn,products_nec,
1843,Zn,construction,
1843,Zn,computers_and_precision_instruments,
1843,Zn,electrical_equipment,
1843,Zn,machinery_and_equipment,
1843,Zn,motor_vehicles_trailers_and_semi_trailers,
1843,Zn,other_transport_equipment,
1843,Zn,products_nec,
1843,Ni,construction,
1843,Ni,computers_and_precision_instruments,
1843,Ni,electrical_equipment,
1843,Ni,machinery_and_equipment,
1843,Ni,motor_vehicles_trailers_and_semi_trailers,
1843,Ni,other_transport_equipment,
1843,Ni,products_nec,
1843,Sn,construction,
1843,Sn,computers_and_precision_instruments,
1843,Sn,electrical_equipment,
1843,Sn,machinery_and_equipment,
1843,Sn,motor_vehicles_trailers_and_semi_trailers,
1843,Sn,other_transport_equipment,
1843,Sn,products_nec,
1844,Zn,construction,
1844,Zn,computers_and_precision_instruments,
1844,Zn,electrical_equipment,
1844,Zn,machinery_and_equipment,
1844,Zn,motor_vehicles_trailers_and_semi_trailers,
1844,Zn,other_transport_equipment,
1844,Zn,products_nec,
1844,Ni,construction,
1844,Ni,computers_and_precision_instruments,
1844,Ni,electrical_equipment,
1844,Ni,machinery_and_equipment,
1844,Ni,motor_vehicles_trailers_and_semi_trailers,
1844,Ni,other_transport_equipment,
1844,Ni,products_nec,
1844,Sn,construction,
1844,Sn,computers_and_precision_instruments,
1844,Sn,electrical_equipment,
1844,Sn,machinery_and_equipment,
1844,Sn,motor_vehicles_trailers_and_semi_trailers,
1844,Sn,other_transport_equipment,
1844,Sn,products_nec,
1845,Zn,construction,
1845,Zn,computers_and_precision_instruments,
1845,Zn,electrical_equipment,
1845,Zn,machinery_and_equipment,
1845,Zn,motor_vehicles_trailers_and_semi_trailers,
1845,Zn,other_transport_equipment,
1845,Zn,products_nec,
1845,Ni,construction,
1845,Ni,computers_and_precision_instruments,
1845,Ni,electrical_equipment,
1845,Ni,machinery_and_equipment,
1845,Ni,motor_vehicles_trailers_and_semi_trailers,
1845,Ni,other_transport_equipment,
1845,Ni,products_nec,
1845,Sn,construction,
1845,Sn,computers_and_precision_instruments,
1845,Sn,electrical_equipment,
1845,Sn,machinery_and_equipment,
1845,Sn,motor_vehicles_trailers_and_semi_trailers,
1845,Sn,other_transport_equipment,
1845,Sn,products_nec,
1846,Zn,construction,
1846,Zn,computers_and_precision_instruments,
1846,Zn,electrical_equipment,
1846,Zn,machinery_and_equipment,
1846,Zn,motor_vehicles_trailers_and_semi_trailers,
1846,Zn,other_transport_equipment,
1846,Zn,products_nec,
1846,Ni,construction,
1846,Ni,computers_and_precision_instruments,
1846,Ni,electrical_equipment,
1846,Ni,machinery_and_equipment,
1846,Ni,motor_vehicles_trailers_and_semi_trailers,
1846,Ni,other_transport_equipment,
1846,Ni,products_nec,
1846,Sn,construction,
1846,Sn,computers_and_precision_instruments,
1846,Sn,electrical_equipment,
1846,Sn,machinery_and_equipment,
1846,Sn,motor_vehicles_trailers_and_semi_trailers,
1846,Sn,other_transport_equipment,
1846,Sn,products_nec,
1847,Zn,construction,
1847,Zn,computers_and_precision_instruments,
1847,Zn,electrical_equipment,
1847,Zn,machinery_and_equipment,
1847,Zn,motor_vehicles_trailers_and_semi_trailers,
1847,Zn,other_transport_equipment,
1847,Zn,products_nec,
1847,Ni,construction,
1847,Ni,computers_and_precision_instruments,
1847,Ni,electrical_equipment,
1847,Ni,machinery_and_equipment,
1847,Ni,motor_vehicles_trailers_and_semi_trailers,
1847,Ni,other_transport_equipment,
1847,Ni,products_nec,
1847,Sn,construction,
1847,Sn,computers_and_precision_instruments,
1847,Sn,electrical_equipment,
1847,Sn,machinery_and_equipment,
1847,Sn,motor_vehicles_trailers_and_semi_trailers,
1847,Sn,other_transport_equipment,
1847,Sn,products_nec,
1848,Zn,construction,
1848,Zn,computers_and_precision_instruments,
1848,Zn,electrical_equipment,
1848,Zn,machinery_and_equipment,
1848,Zn,motor_vehicles_trailers_and_semi_trailers,
1848,Zn,other_transport_equipment,
1848,Zn,products_nec,
1848,Ni,construction,
1848,Ni,computers_and_precision_instruments,
1848,Ni,electrical_equipment,
1848,Ni,machinery_and_equipment,
1848,Ni,motor_vehicles_trailers_and_semi_trailers,
1848,Ni,other_transport_equipment,
1848,Ni,products_nec,
1848,Sn,construction,
1848,Sn,computers_and_precision_instruments,
1848,Sn,electrical_equipment,
1848,Sn,machinery_and_equipment,
1848,Sn,motor_vehicles_trailers_and_semi_trailers,
1848,Sn,other_transport_equipment,
1848,Sn,products_nec,
1849,Zn,construction,
1849,Zn,computers_and_precision_instruments,
1849,Zn,electrical_equipment,
1849,Zn,machinery_and_equipment,
1849,Zn,motor_vehicles_trailers_and_semi_trailers,
1849,Zn,other_transport_equipment,
1849,Zn,products_nec,
1849,Ni,construction,
1849,Ni,computers_and_precision_instruments,
1849,Ni,electrical_equipment,
1849,Ni,machinery_and_equipment,
1849,Ni,motor_vehicles_trailers_and_semi_trailers,
1849,Ni,other_transport_equipment,
1849,Ni,products_nec,
1849,Sn,construction,
1849,Sn,computers_and_precision_instruments,
1849,Sn,electrical_equipment,
1849,Sn,machinery_and_equipment,
1849,Sn,motor_vehicles_trailers_and_semi_trailers,
1849,Sn,other_transport_equipment,
1849,Sn,products_nec,
1850,Zn,construction,
1850,Zn,computers_and_precision_instruments,
1850,Zn,electrical_equipment,
1850,Zn,machinery_and_equipment,
1850,Zn,motor_vehicles_trailers_and_semi_trailers,
1850,Zn,other_transport_equipment,
1850,Zn,products_nec,
1850,Ni,construction,
1850,Ni,computers_and_precision_instruments,
1850,Ni,electrical_equipment,
1850,Ni,machinery_and_equipment,
1850,Ni,motor_vehicles_trailers_and_semi_trailers,
1850,Ni,other_transport_equipment,
1850,Ni,products_nec,
1850,Sn,construction,
1850,Sn,computers_and_precision_instruments,
1850,Sn,electrical_equipment,
1850,Sn,machinery_and_equipment,
1850,Sn,motor_vehicles_trailers_and_semi_trailers,
1850,Sn,other_transport_equipment,
1850,Sn,products_nec,
1851,Zn,construction,
1851,Zn,computers_and_precision_instruments,
1851,Zn,electrical_equipment,
1851,Zn,machinery_and_equipment,
1851,Zn,motor_vehicles_trailers_and_semi_trailers,
1851,Zn,other_transport_equipment,
1851,Zn,products_nec,
1851,Ni,construction,
1851,Ni,computers_and_precision_instruments,
1851,Ni,electrical_equipment,
1851,Ni,machinery_and_equipment,
1851,Ni,motor_vehicles_trailers_and_semi_trailers,
1851,Ni,other_transport_equipment,
1851,Ni,products_nec,
1851,Sn,construction,
1851,Sn,computers_and_precision_instruments,
1851,Sn,electrical_equipment,
1851,Sn,machinery_and_equipment,
1851,Sn,motor_vehicles_trailers_and_semi_trailers,
1851,Sn,other_transport_equipment,
1851,Sn,products_nec,
1852,Zn,construction,
1852,Zn,computers_and_precision_instruments,
1852,Zn,electrical_equipment,
1852,Zn,machinery_and_equipment,
1852,Zn,motor_vehicles_trailers_and_semi_trailers,
1852,Zn,other_transport_equipment,
1852,Zn,products_nec,
1852,Ni,construction,
1852,Ni,computers_and_precision_instruments,
1852,Ni,electrical_equipment,
1852,Ni,machinery_and_equipment,
1852,Ni,motor_vehicles_trailers_and_semi_trailers,
1852,Ni,other_transport_equipment,
1852,Ni,products_nec,
1852,Sn,construction,
1852,Sn,computers_and_precision_instruments,
1852,Sn,electrical_equipment,
1852,Sn,machinery_and_equipment,
1852,Sn,motor_vehicles_trailers_and_semi_trailers,
1852,Sn,other_transport_equipment,
1852,Sn,products_nec,
1853,Zn,construction,
1853,Zn,computers_and_precision_instruments,
1853,Zn,electrical_equipment,
1853,Zn,machinery_and_equipment,
1853,Zn,motor_vehicles_trailers_and_semi_trailers,
1853,Zn,other_transport_equipment,
1853,Zn,products_nec,
1853,Ni,construction,
1853,Ni,computers_and_precision_instruments,
1853,Ni,electrical_equipment,
1853,Ni,machinery_and_equipment,
1853,Ni,motor_vehicles_trailers_and_semi_trailers,
1853,Ni,other_transport_equipment,
1853,Ni,products_nec,
1853,Sn,construction,
1853,Sn,computers_and_precision_instruments,
1853,Sn,electrical_equipment,
1853,Sn,machinery_and_equipment,
1853,Sn,motor_vehicles_trailers_and_semi_trailers,
1853,Sn,other_transport_equipment,
1853,Sn,products_nec,
1854,Zn,construction,
1854,Zn,computers_and_precision_instruments,
1854,Zn,electrical_equipment,
1854,Zn,machinery_and_equipment,
1854,Zn,motor_vehicles_trailers_and_semi_trailers,
1854,Zn,other_transport_equipment,
1854,Zn,products_nec,
1854,Ni,construction,
1854,Ni,computers_and_precision_instruments,
1854,Ni,electrical_equipment,
1854,Ni,machinery_and_equipment,
1854,Ni,motor_vehicles_trailers_and_semi_trailers,
1854,Ni,other_transport_equipment,
1854,Ni,products_nec,
1854,Sn,construction,
1854,Sn,computers_and_precision_instruments,
1854,Sn,electrical_equipment,
1854,Sn,machinery_and_equipment,
1854,Sn,motor_vehicles_trailers_and_semi_trailers,
1854,Sn,other_transport_equipment,
1854,Sn,products_nec,
1855,Zn,construction,
1855,Zn,computers_and_precision_instruments,
1855,Zn,electrical_equipment,
1855,Zn,machinery_and_equipment,
1855,Zn,motor_vehicles_trailers_and_semi_trailers,
1855,Zn,other_transport_equipment,
1855,Zn,products_nec,
1855,Ni,construction,
1855,Ni,computers_and_precision_instruments,
1855,Ni,electrical_equipment,
1855,Ni,machinery_and_equipment,
1855,Ni,motor_vehicles_trailers_and_semi_trailers,
1855,Ni,other_transport_equipment,
1855,Ni,products_nec,
1855,Sn,construction,
1855,Sn,computers_and_precision_instruments,
1855,Sn,electrical_equipment,
1855,Sn,machinery_and_equipment,
1855,Sn,motor_vehicles_trailers_and_semi_trailers,
1855,Sn,other_transport_equipment,
1855,Sn,products_nec,
1856,Zn,construction,
1856,Zn,computers_and_precision_instruments,
1856,Zn,electrical_equipment,
1856,Zn,machinery_and_equipment,
1856,Zn,motor_vehicles_trailers_and_semi_trailers,
1856,Zn,other_transport_equipment,
1856,Zn,products_nec,
1856,Ni,construction,
1856,Ni,computers_and_precision_instruments,
1856,Ni,electrical_equipment,
1856,Ni,machinery_and_equipment,
1856,Ni,motor_vehicles_trailers_and_semi_trailers,
1856,Ni,other_transport_equipment,
1856,Ni,products_nec,
1856,Sn,construction,
1856,Sn,computers_and_precision_instruments,
1856,Sn,electrical_equipment,
1856,Sn,machinery_and_equipment,
1856,Sn,motor_vehicles_trailers_and_semi_trailers,
1856,Sn,other_transport_equipment,
1856,Sn,products_nec,
1857,Zn,construction,
1857,Zn,computers_and_precision_instruments,
1857,Zn,electrical_equipment,
1857,Zn,machinery_and_equipment,
1857,Zn,motor_vehicles_trailers_and_semi_trailers,
1857,Zn,other_transport_equipment,
1857,Zn,products_nec,
1857,Ni,construction,
1857,Ni,computers_and_precision_instruments,
1857,Ni,electrical_equipment,
1857,Ni,machinery_and_equipment,
1857,Ni,motor_vehicles_trailers_and_semi_trailers,
