t,m,c,o,d,value
1823,Zn,refined_metal,EU27,ROW,
1823,Zn,refined_metal,CHN,EU27,
1823,Zn,refined_metal,CHN,CHN,
1823,Zn,refined_metal,CHN,ROW,
1823,Zn,refined_metal,ROW,EU27,
1823,Zn,refined_metal,ROW,CHN,
1823,Zn,refined_metal,ROW,ROW,
1823,Zn,scrap,EU27,EU27,
1823,Zn,scrap,EU27,CHN,
1823,Zn,scrap,EU27,ROW,
1823,Zn,scrap,CHN,EU27,
1823,Zn,scrap,CHN,CHN,
1823,Zn,scrap,CHN,ROW,
1823,Zn,scrap,ROW,EU27,
1823,Zn,scrap,ROW,CHN,
1823,Zn,scrap,ROW,ROW,
1823,Ni,concentrate,EU27,EU27,
1823,Ni,concentrate,EU27,CHN,
1823,Ni,concentrate,EU27,ROW,
1823,Ni,concentrate,CHN,EU27,
1823,Ni,concentrate,CHN,CHN,
1823,Ni,concentrate,CHN,ROW,
1823,Ni,concentrate,ROW,EU27,
1823,Ni,concentrate,ROW,CHN,
1823,Ni,concentrate,ROW,ROW,
1823,Ni,refined_metal,EU27,EU27,
1823,Ni,refined_metal,EU27,CHN,
1823,Ni,refined_metal,EU27,ROW,
1823,Ni,refined_metal,CHN,EU27,
1823,Ni,refined_metal,CHN,CHN,
1823,Ni,refined_metal,CHN,ROW,
1823,Ni,refined_metal,ROW,EU27,
1823,Ni,refined_metal,ROW,CHN,
1823,Ni,refined_metal,ROW,ROW,
1823,Ni,scrap,EU27,EU27,
1823,Ni,scrap,EU27,CHN,
1823,Ni,scrap,EU27,ROW,
1823,Ni,scrap,CHN,EU27,
1823,Ni,scrap,CHN,CHN,
1823,Ni,scrap,CHN,ROW,
1823,Ni,scrap,ROW,EU27,
1823,Ni,scrap,ROW,CHN,
1823,Ni,scrap,ROW,ROW,
1823,Sn,concentrate,EU27,EU27,
1823,Sn,concentrate,EU27,CHN,
1823,Sn,concentrate,EU27,ROW,
1823,Sn,concentrate,CHN,EU27,
1823,Sn,concentrate,CHN,CHN,
1823,Sn,concentrate,CHN,ROW,
1823,Sn,concentrate,ROW,EU27,
1823,Sn,concentrate,ROW,CHN,
1823,Sn,concentrate,ROW,ROW,
1823,Sn,refined_metal,EU27,EU27,
1823,Sn,refined_metal,EU27,CHN,
1823,Sn,refined_metal,EU27,ROW,
1823,Sn,refined_metal,CHN,EU27,
1823,Sn,refined_metal,CHN,CHN,
1823,Sn,refined_metal,CHN,ROW,
1823,Sn,refined_metal,ROW,EU27,
1823,Sn,refined_metal,ROW,CHN,
1823,Sn,refined_metal,ROW,ROW,
1823,Sn,scrap,EU27,EU27,
1823,Sn,scrap,EU27,CHN,
1823,Sn,scrap,EU27,ROW,
1823,Sn,scrap,CHN,EU27,
1823,Sn,scrap,CHN,CHN,
1823,Sn,scrap,CHN,ROW,
1823,Sn,scrap,ROW,EU27,
1823,Sn,scrap,ROW,CHN,
1823,Sn,scrap,ROW,ROW,
1824,Zn,concentrate,EU27,EU27,
1824,Zn,concentrate,EU27,CHN,
1824,Zn,concentrate,EU27,ROW,
1824,Zn,concentrate,CHN,EU27,
1824,Zn,concentrate,CHN,CHN,
1824,Zn,concentrate,CHN,ROW,
1824,Zn,concentrate,ROW,EU27,
1824,Zn,concentrate,ROW,CHN,
1824,Zn,concentrate,ROW,ROW,
1824,Zn,refined_metal,EU27,EU27,
1824,Zn,refined_metal,EU27,CHN,
1824,Zn,refined_metal,EU27,ROW,
1824,Zn,refined_metal,CHN,EU27,
1824,Zn,refined_metal,CHN,CHN,
1824,Zn,refined_metal,CHN,ROW,
1824,Zn,refined_metal,ROW,EU27,
1824,Zn,refined_metal,ROW,CHN,
1824,Zn,refined_metal,ROW,ROW,
1824,Zn,scrap,EU27,EU27,
1824,Zn,scrap,EU27,CHN,
1824,Zn,scrap,EU27,ROW,
1824,Zn,scrap,CHN,EU27,
1824,Zn,scrap,CHN,CHN,
1824,Zn,scrap,CHN,ROW,
1824,Zn,scrap,ROW,EU27,
1824,Zn,scrap,ROW,CHN,
1824,Zn,scrap,ROW,ROW,
1824,Ni,concentrate,EU27,EU27,
1824,Ni,concentrate,EU27,CHN,
1824,Ni,concentrate,EU27,ROW,
1824,Ni,concentrate,CHN,EU27,
1824,Ni,concentrate,CHN,CHN,
1824,Ni,concentrate,CHN,ROW,
1824,Ni,concentrate,ROW,EU27,
1824,Ni,concentrate,ROW,CHN,
1824,Ni,concentrate,ROW,ROW,
1824,Ni,refined_metal,EU27,EU27,
1824,Ni,refined_metal,EU27,CHN,
1824,Ni,refined_metal,EU27,ROW,
1824,Ni,refined_metal,CHN,EU27,
1824,Ni,refined_metal,CHN,CHN,
1824,Ni,refined_metal,CHN,ROW,
1824,Ni,refined_metal,ROW,EU27,
1824,Ni,refined_metal,ROW,CHN,
1824,Ni,refined_metal,ROW,ROW,
1824,Ni,scrap,EU27,EU27,
1824,Ni,scrap,EU27,CHN,
1824,Ni,scrap,EU27,ROW,
1824,Ni,scrap,CHN,EU27,
1824,Ni,scrap,CHN,CHN,
1824,Ni,scrap,CHN,ROW,
1824,Ni,scrap,ROW,EU27,
1824,Ni,scrap,ROW,CHN,
1824,Ni,scrap,ROW,ROW,
1824,Sn,concentrate,EU27,EU27,
1824,Sn,concentrate,EU27,CHN,
1824,Sn,concentrate,EU27,ROW,
1824,Sn,concentrate,CHN,EU27,
1824,Sn,concentrate,CHN,CHN,
1824,Sn,concentrate,CHN,ROW,
1824,Sn,concentrate,ROW,EU27,
1824,Sn,concentrate,ROW,CHN,
1824,Sn,concentrate,ROW,ROW,
1824,Sn,refined_metal,EU27,EU27,
1824,Sn,refined_metal,EU27,CHN,
1824,Sn,refined_metal,EU27,ROW,
1824,Sn,refined_metal,CHN,EU27,
1824,Sn,refined_metal,CHN,CHN,
1824,Sn,refined_metal,CHN,ROW,
1824,Sn,refined_metal,ROW,EU27,
1824,Sn,refined_metal,ROW,CHN,
1824,Sn,refined_metal,ROW,ROW,
1824,Sn,scrap,EU27,EU27,
1824,Sn,scrap,EU27,CHN,
1824,Sn,scrap,EU27,ROW,
1824,Sn,scrap,CHN,EU27,
1824,Sn,scrap,CHN,CHN,
1824,Sn,scrap,CHN,ROW,
1824,Sn,scrap,ROW,EU27,
1824,Sn,scrap,ROW,CHN,
1824,Sn,scrap,ROW,ROW,
1825,Zn,concentrate,EU27,EU27,
1825,Zn,concentrate,EU27,CHN,
1825,Zn,concentrate,EU27,ROW,
1825,Zn,concentrate,CHN,EU27,
1825,Zn,concentrate,CHN,CHN,
1825,Zn,concentrate,CHN,ROW,
1825,Zn,concentrate,ROW,EU27,
1825,Zn,concentrate,ROW,CHN,
1825,Zn,concentrate,ROW,ROW,
1825,Zn,refined_metal,EU27,EU27,
1825,Zn,refined_metal,EU27,CHN,
1825,Zn,refined_metal,EU27,ROW,
1825,Zn,refined_metal,CHN,EU27,
1825,Zn,refined_metal,CHN,CHN,
1825,Zn,refined_metal,CHN,ROW,
1825,Zn,refined_metal,ROW,EU27,
1825,Zn,refined_metal,ROW,CHN,
1825,Zn,refined_metal,ROW,ROW,
1825,Zn,scrap,EU27,EU27,
1825,Zn,scrap,EU27,CHN,
1825,Zn,scrap,EU27,ROW,
1825,Zn,scrap,CHN,EU27,
1825,Zn,scrap,CHN,CHN,
1825,Zn,scrap,CHN,ROW,
1825,Zn,scrap,ROW,EU27,
1825,Zn,scrap,ROW,CHN,
1825,Zn,scrap,ROW,ROW,
1825,Ni,concentrate,EU27,EU27,
1825,Ni,concentrate,EU27,CHN,
1825,Ni,concentrate,EU27,ROW,
1825,Ni,concentrate,CHN,EU27,
1825,Ni,concentrate,CHN,CHN,
1825,Ni,concentrate,CHN,ROW,
1825,Ni,concentrate,ROW,EU27,
1825,Ni,concentrate,ROW,CHN,
1825,Ni,concentrate,ROW,ROW,
1825,Ni,refined_metal,EU27,EU27,
1825,Ni,refined_metal,EU27,CHN,
1825,Ni,refined_metal,EU27,ROW,
1825,Ni,refined_metal,CHN,EU27,
1825,Ni,refined_metal,CHN,CHN,
1825,Ni,refined_metal,CHN,ROW,
1825,Ni,refined_metal,ROW,EU27,
1825,Ni,refined_metal,ROW,CHN,
1825,Ni,refined_metal,ROW,ROW,
1825,Ni,scrap,EU27,EU27,
1825,Ni,scrap,EU27,CHN,
1825,Ni,scrap,EU27,ROW,
1825,Ni,scrap,CHN,EU27,
1825,Ni,scrap,CHN,CHN,
1825,Ni,scrap,CHN,ROW,
1825,Ni,scrap,ROW,EU27,
1825,Ni,scrap,ROW,CHN,
1825,Ni,scrap,ROW,ROW,
1825,Sn,concentrate,EU27,EU27,
1825,Sn,concentrate,EU27,CHN,
1825,Sn,concentrate,EU27,ROW,
1825,Sn,concentrate,CHN,EU27,
1825,Sn,concentrate,CHN,CHN,
1825,Sn,concentrate,CHN,ROW,
1825,Sn,concentrate,ROW,EU27,
1825,Sn,concentrate,ROW,CHN,
1825,Sn,concentrate,ROW,ROW,
1825,Sn,refined_metal,EU27,EU27,
1825,Sn,refined_metal,EU27,CHN,
1825,Sn,refined_metal,EU27,ROW,
1825,Sn,refined_metal,CHN,EU27,
1825,Sn,refined_metal,CHN,CHN,
1825,Sn,refined_metal,CHN,ROW,
1825,Sn,refined_metal,ROW,EU27,
1825,Sn,refined_metal,ROW,CHN,
1825,Sn,refined_metal,ROW,ROW,
1825,Sn,scrap,EU27,EU27,
1825,Sn,scrap,EU27,CHN,
1825,Sn,scrap,EU27,ROW,
1825,Sn,scrap,CHN,EU27,
1825,Sn,scrap,CHN,CHN,
1825,Sn,scrap,CHN,ROW,
1825,Sn,scrap,ROW,EU27,
1825,Sn,scrap,ROW,CHN,
1825,Sn,scrap,ROW,ROW,
1826,Zn,concentrate,EU27,EU27,
1826,Zn,concentrate,EU27,CHN,
1826,Zn,concentrate,EU27,ROW,
1826,Zn,concentrate,CHN,EU27,
1826,Zn,concentrate,CHN,CHN,
1826,Zn,concentrate,CHN,ROW,
1826,Zn,concentrate,ROW,EU27,
1826,Zn,concentrate,ROW,CHN,
1826,Zn,concentrate,ROW,ROW,
1826,Zn,refined_metal,EU27,EU27,
1826,Zn,refined_metal,EU27,CHN,
1826,Zn,refined_metal,EU27,ROW,
1826,Zn,refined_metal,CHN,EU27,
1826,Zn,refined_metal,CHN,CHN,
1826,Zn,refined_metal,CHN,ROW,
1826,Zn,refined_metal,ROW,EU27,
1826,Zn,refined_metal,ROW,CHN,
1826,Zn,refined_metal,ROW,ROW,
1826,Zn,scrap,EU27,EU27,
1826,Zn,scrap,EU27,CHN,
1826,Zn,scrap,EU27,ROW,
1826,Zn,scrap,CHN,EU27,
1826,Zn,scrap,CHN,CHN,
1826,Zn,scrap,CHN,ROW,
1826,Zn,scrap,ROW,EU27,
1826,Zn,scrap,ROW,CHN,
1826,Zn,scrap,ROW,ROW,
1826,Ni,concentrate,EU27,EU27,
1826,Ni,concentrate,EU27,CHN,
1826,Ni,concentrate,EU27,ROW,
1826,Ni,concentrate,CHN,EU27,
1826,Ni,concentrate,CHN,CHN,
1826,Ni,concentrate,CHN,ROW,
1826,Ni,concentrate,ROW,EU27,
1826,Ni,concentrate,ROW,CHN,
1826,Ni,concentrate,ROW,ROW,
1826,Ni,refined_metal,EU27,EU27,
1826,Ni,refined_metal,EU27,CHN,
1826,Ni,refined_metal,EU27,ROW,
1826,Ni,refined_metal,CHN,EU27,
1826,Ni,refined_metal,CHN,CHN,
1826,Ni,refined_metal,CHN,ROW,
1826,Ni,refined_metal,ROW,EU27,
1826,Ni,refined_metal,ROW,CHN,
1826,Ni,refined_metal,ROW,ROW,
1826,Ni,scrap,EU27,EU27,
1826,Ni,scrap,EU27,CHN,
1826,Ni,scrap,EU27,ROW,
1826,Ni,scrap,CHN,EU27,
1826,Ni,scrap,CHN,CHN,
1826,Ni,scrap,CHN,ROW,
1826,Ni,scrap,ROW,EU27,
1826,Ni,scrap,ROW,CHN,
1826,Ni,scrap,ROW,ROW,
1826,Sn,concentrate,EU27,EU27,
1826,Sn,concentrate,EU27,CHN,
1826,Sn,concentrate,EU27,ROW,
1826,Sn,concentrate,CHN,EU27,
1826,Sn,concentrate,CHN,CHN,
1826,Sn,concentrate,CHN,ROW,
1826,Sn,concentrate,ROW,EU27,
1826,Sn,concentrate,ROW,CHN,
1826,Sn,concentrate,ROW,ROW,
1826,Sn,refined_metal,EU27,EU27,
1826,Sn,refined_metal,EU27,CHN,
1826,Sn,refined_metal,EU27,ROW,
1826,Sn,refined_metal,CHN,EU27,
1826,Sn,refined_metal,CHN,CHN,
1826,Sn,refined_metal,CHN,ROW,
1826,Sn,refined_metal,ROW,EU27,
1826,Sn,refined_metal,ROW,CHN,
1826,Sn,refined_metal,ROW,ROW,
1826,Sn,scrap,EU27,EU27,
1826,Sn,scrap,EU27,CHN,
1826,Sn,scrap,EU27,ROW,
1826,Sn,scrap,CHN,EU27,
1826,Sn,scrap,CHN,CHN,
1826,Sn,scrap,CHN,ROW,
1826,Sn,scrap,ROW,EU27,
1826,Sn,scrap,ROW,CHN,
1826,Sn,scrap,ROW,ROW,
1827,Zn,concentrate,EU27,EU27,
1827,Zn,concentrate,EU27,CHN,
1827,Zn,concentrate,EU27,ROW,
1827,Zn,concentrate,CHN,EU27,
1827,Zn,concentrate,CHN,CHN,
1827,Zn,concentrate,CHN,ROW,
1827,Zn,concentrate,ROW,EU27,
1827,Zn,concentrate,ROW,CHN,
1827,Zn,concentrate,ROW,ROW,
1827,Zn,refined_metal,EU27,EU27,
1827,Zn,refined_metal,EU27,CHN,
1827,Zn,refined_metal,EU27,ROW,
1827,Zn,refined_metal,CHN,EU27,
1827,Zn,refined_metal,CHN,CHN,
1827,Zn,refined_metal,CHN,ROW,
1827,Zn,refined_metal,ROW,EU27,
1827,Zn,refined_metal,ROW,CHN,
1827,Zn,refined_metal,ROW,ROW,
1827,Zn,scrap,EU27,EU27,
1827,Zn,scrap,EU27,CHN,
1827,Zn,scrap,EU27,ROW,
1827,Zn,scrap,CHN,EU27,
1827,Zn,scrap,CHN,CHN,
1827,Zn,scrap,CHN,ROW,
1827,Zn,scrap,ROW,EU27,
1827,Zn,scrap,ROW,CHN,
1827,Zn,scrap,ROW,ROW,
1827,Ni,concentrate,EU27,EU27,
1827,Ni,concentrate,EU27,CHN,
1827,Ni,concentrate,EU27,ROW,
1827,Ni,concentrate,CHN,EU27,
1827,Ni,concentrate,CHN,CHN,
1827,Ni,concentrate,CHN,ROW,
1827,Ni,concentrate,ROW,EU27,
1827,Ni,concentrate,ROW,CHN,
1827,Ni,concentrate,ROW,ROW,
1827,Ni,refined_metal,EU27,EU27,
1827,Ni,refined_metal,EU27,CHN,
1827,Ni,refined_metal,EU27,ROW,
1827,Ni,refined_metal,CHN,EU27,
1827,Ni,refined_metal,CHN,CHN,
1827,Ni,refined_metal,CHN,ROW,
1827,Ni,refined_metal,ROW,EU27,
1827,Ni,refined_metal,ROW,CHN,
1827,Ni,refined_metal,ROW,ROW,
1827,Ni,scrap,EU27,EU27,
1827,Ni,scrap,EU27,CHN,
1827,Ni,scrap,EU27,ROW,
1827,Ni,scrap,CHN,EU27,
1827,Ni,scrap,CHN,CHN,
1827,Ni,scrap,CHN,ROW,
1827,Ni,scrap,ROW,EU27,
1827,Ni,scrap,ROW,CHN,
1827,Ni,scrap,ROW,ROW,
1827,Sn,concentrate,EU27,EU27,
1827,Sn,concentrate,EU27,CHN,
1827,Sn,concentrate,EU27,ROW,
1827,Sn,concentrate,CHN,EU27,
1827,Sn,concentrate,CHN,CHN,
1827,Sn,concentrate,CHN,ROW,
1827,Sn,concentrate,ROW,EU27,
1827,Sn,concentrate,ROW,CHN,
1827,Sn,concentrate,ROW,ROW,
1827,Sn,refined_metal,EU27,EU27,
1827,Sn,refined_metal,EU27,CHN,
1827,Sn,refined_metal,EU27,ROW,
1827,Sn,refined_metal,CHN,EU27,
1827,Sn,refined_metal,CHN,CHN,
1827,Sn,refined_metal,CHN,ROW,
1827,Sn,refined_metal,ROW,EU27,
1827,Sn,refined_metal,ROW,CHN,
1827,Sn,refined_metal,ROW,ROW,
1827,Sn,scrap,EU27,EU27,
1827,Sn,scrap,EU27,CHN,
1827,Sn,scrap,EU27,ROW,
1827,Sn,scrap,CHN,EU27,
1827,Sn,scrap,CHN,CHN,
1827,Sn,scrap,CHN,ROW,
1827,Sn,scrap,ROW,EU27,
1827,Sn,scrap,ROW,CHN,
1827,Sn,scrap,ROW,ROW,
1828,Zn,concentrate,EU27,EU27,
1828,Zn,concentrate,EU27,CHN,
1828,Zn,concentrate,EU27,ROW,
1828,Zn,concentrate,CHN,EU27,
1828,Zn,concentrate,CHN,CHN,
1828,Zn,concentrate,CHN,ROW,
1828,Zn,concentrate,ROW,EU27,
1828,Zn,concentrate,ROW,CHN,
1828,Zn,concentrate,ROW,ROW,
1828,Zn,refined_metal,EU27,EU27,
1828,Zn,refined_metal,EU27,CHN,
1828,Zn,refined_metal,EU27,ROW,
1828,Zn,refined_metal,CHN,EU27,
1828,Zn,refined_metal,CHN,CHN,
1828,Zn,refined_metal,CHN,ROW,
1828,Zn,refined_metal,ROW,EU27,
1828,Zn,refined_metal,ROW,CHN,
