t,m,c,o,d,value
1821,Zn,refined_metal,ROW,CHN,0.0015980478255724
1821,Zn,refined_metal,ROW,EU27,0.2889118652654983
1821,Zn,refined_metal,ROW,ROW,0.7094900869089292
1821,Zn,scrap,CHN,CHN,0.1840331778212685
1821,Zn,scrap,CHN,EU27,0.5656378354528668
1821,Zn,scrap,CHN,ROW,0.2503289867258645
1821,Zn,scrap,EU27,CHN,0.1840331778212685
1821,Zn,scrap,EU27,EU27,0.5656378354528668
1821,Zn,scrap,EU27,ROW,0.2503289867258645
1821,Zn,scrap,ROW,CHN,0.1840331778212685
1821,Zn,scrap,ROW,EU27,0.5656378354528668
1821,Zn,scrap,ROW,ROW,0.2503289867258645
1822,Ni,concentrate,CHN,CHN,0.0001016227990357
1822,Ni,concentrate,CHN,EU27,0.0040127325551739
1822,Ni,concentrate,CHN,ROW,0.9958856446457902
1822,Ni,concentrate,EU27,CHN,0.0001016227990357
1822,Ni,concentrate,EU27,EU27,0.0040127325551739
1822,Ni,concentrate,EU27,ROW,0.9958856446457902
1822,Ni,concentrate,ROW,CHN,0.0001016227990357
1822,Ni,concentrate,ROW,EU27,0.0040127325551739
1822,Ni,concentrate,ROW,ROW,0.9958856446457904
1822,Ni,refined_metal,CHN,CHN,0.0008460339668365
1822,Ni,refined_metal,CHN,EU27,0.3434938369055783
1822,Ni,refined_metal,CHN,ROW,0.6556601291275852
1822,Ni,refined_metal,EU27,CHN,0.0008460339668365
1822,Ni,refined_metal,EU27,EU27,0.3434938369055783
1822,Ni,refined_metal,EU27,ROW,0.6556601291275853
1822,Ni,refined_metal,ROW,CHN,0.0008460339668365
1822,Ni,refined_metal,ROW,EU27,0.3434938369055783
1822,Ni,refined_metal,ROW,ROW,0.6556601291275852
1822,Ni,scrap,CHN,CHN,0.004844028159137
1822,Ni,scrap,CHN,EU27,0.2911669438888353
1822,Ni,scrap,CHN,ROW,0.7039890279520276
1822,Ni,scrap,EU27,CHN,0.004844028159137
1822,Ni,scrap,EU27,EU27,0.2911669438888353
1822,Ni,scrap,EU27,ROW,0.7039890279520276
1822,Ni,scrap,ROW,CHN,0.004844028159137
1822,Ni,scrap,ROW,EU27,0.2911669438888353
1822,Ni,scrap,ROW,ROW,0.7039890279520276
1822,Sn,concentrate,CHN,CHN,0.0003794512648264
1822,Sn,concentrate,CHN,EU27,0.1265421288248722
1822,Sn,concentrate,CHN,ROW,0.8730784199103012
1822,Sn,concentrate,EU27,CHN,0.0003794512648264
1822,Sn,concentrate,EU27,EU27,0.1265421288248722
1822,Sn,concentrate,EU27,ROW,0.8730784199103012
1822,Sn,concentrate,ROW,CHN,0.0003794512648264
1822,Sn,concentrate,ROW,EU27,0.1265421288248722
1822,Sn,concentrate,ROW,ROW,0.8730784199103013
1822,Sn,refined_metal,CHN,CHN,0.0129616301062314
1822,Sn,refined_metal,CHN,EU27,0.3020388662767663
1822,Sn,refined_metal,CHN,ROW,0.6849995036170022
1822,Sn,refined_metal,EU27,CHN,0.0129616301062314
1822,Sn,refined_metal,EU27,EU27,0.3020388662767664
1822,Sn,refined_metal,EU27,ROW,0.6849995036170022
1822,Sn,refined_metal,ROW,CHN,0.0129616301062314
1822,Sn,refined_metal,ROW,EU27,0.3020388662767663
1822,Sn,refined_metal,ROW,ROW,0.6849995036170022
1822,Sn,scrap,CHN,CHN,0.0079470202985249
1822,Sn,scrap,CHN,EU27,0.6392935978287502
1822,Sn,scrap,CHN,ROW,0.3527593818727248
1822,Sn,scrap,EU27,CHN,0.0079470202985249
1822,Sn,scrap,EU27,EU27,0.6392935978287502
1822,Sn,scrap,EU27,ROW,0.3527593818727249
1822,Sn,scrap,ROW,CHN,0.0079470202985249
1822,Sn,scrap,ROW,EU27,0.6392935978287503
1822,Sn,scrap,ROW,ROW,0.3527593818727249
1822,Zn,concentrate,CHN,CHN,0.0019449369543214
1822,Zn,concentrate,CHN,EU27,0.313597368440549
1822,Zn,concentrate,CHN,ROW,0.6844576946051294
1822,Zn,concentrate,EU27,CHN,0.0019449369543214
1822,Zn,concentrate,EU27,EU27,0.3135973684405491
1822,Zn,concentrate,EU27,ROW,0.6844576946051295
1822,Zn,concentrate,ROW,CHN,0.0019449369543214
1822,Zn,concentrate,ROW,EU27,0.313597368440549
1822,Zn,concentrate,ROW,ROW,0.6844576946051295
1822,Zn,refined_metal,CHN,CHN,0.0015980478255724
1822,Zn,refined_metal,CHN,EU27,0.2889118652654983
1822,Zn,refined_metal,CHN,ROW,0.7094900869089292
1822,Zn,refined_metal,EU27,CHN,0.0015980478255724
1822,Zn,refined_metal,EU27,EU27,0.2889118652654983
1822,Zn,refined_metal,EU27,ROW,0.7094900869089293
1822,Zn,refined_metal,ROW,CHN,0.0015980478255724
1822,Zn,refined_metal,ROW,EU27,0.2889118652654983
1822,Zn,refined_metal,ROW,ROW,0.7094900869089292
1822,Zn,scrap,CHN,CHN,0.1840331778212685
1822,Zn,scrap,CHN,EU27,0.5656378354528668
1822,Zn,scrap,CHN,ROW,0.2503289867258645
1822,Zn,scrap,EU27,CHN,0.1840331778212685
1822,Zn,scrap,EU27,EU27,0.5656378354528668
1822,Zn,scrap,EU27,ROW,0.2503289867258645
1822,Zn,scrap,ROW,CHN,0.1840331778212685
1822,Zn,scrap,ROW,EU27,0.5656378354528668
1822,Zn,scrap,ROW,ROW,0.2503289867258645
1823,Ni,concentrate,CHN,CHN,0.0001016227990357
1823,Ni,concentrate,CHN,EU27,0.0040127325551739
1823,Ni,concentrate,CHN,ROW,0.9958856446457902
1823,Ni,concentrate,EU27,CHN,0.0001016227990357
1823,Ni,concentrate,EU27,EU27,0.0040127325551739
1823,Ni,concentrate,EU27,ROW,0.9958856446457902
1823,Ni,concentrate,ROW,CHN,0.0001016227990357
1823,Ni,concentrate,ROW,EU27,0.0040127325551739
1823,Ni,concentrate,ROW,ROW,0.9958856446457904
1823,Ni,refined_metal,CHN,CHN,0.0008460339668365
1823,Ni,refined_metal,CHN,EU27,0.3434938369055783
1823,Ni,refined_metal,CHN,ROW,0.6556601291275852
1823,Ni,refined_metal,EU27,CHN,0.0008460339668365
1823,Ni,refined_metal,EU27,EU27,0.3434938369055783
1823,Ni,refined_metal,EU27,ROW,0.6556601291275853
1823,Ni,refined_metal,ROW,CHN,0.0008460339668365
1823,Ni,refined_metal,ROW,EU27,0.3434938369055783
1823,Ni,refined_metal,ROW,ROW,0.6556601291275852
1823,Ni,scrap,CHN,CHN,0.004844028159137
1823,Ni,scrap,CHN,EU27,0.2911669438888353
1823,Ni,scrap,CHN,ROW,0.7039890279520276
1823,Ni,scrap,EU27,CHN,0.004844028159137
1823,Ni,scrap,EU27,EU27,0.2911669438888353
1823,Ni,scrap,EU27,ROW,0.7039890279520276
1823,Ni,scrap,ROW,CHN,0.004844028159137
1823,Ni,scrap,ROW,EU27,0.2911669438888353
1823,Ni,scrap,ROW,ROW,0.7039890279520276
1823,Sn,concentrate,CHN,CHN,0.0003794512648264
1823,Sn,concentrate,CHN,EU27,0.1265421288248722
1823,Sn,concentrate,CHN,ROW,0.8730784199103012
1823,Sn,concentrate,EU27,CHN,0.0003794512648264
1823,Sn,concentrate,EU27,EU27,0.1265421288248722
1823,Sn,concentrate,EU27,ROW,0.8730784199103012
1823,Sn,concentrate,ROW,CHN,0.0003794512648264
1823,Sn,concentrate,ROW,EU27,0.1265421288248722
1823,Sn,concentrate,ROW,ROW,0.8730784199103013
1823,Sn,refined_metal,CHN,CHN,0.0129616301062314
1823,Sn,refined_metal,CHN,EU27,0.3020388662767663
1823,Sn,refined_metal,CHN,ROW,0.6849995036170022
1823,Sn,refined_metal,EU27,CHN,0.0129616301062314
1823,Sn,refined_metal,EU27,EU27,0.3020388662767664
1823,Sn,refined_metal,EU27,ROW,0.6849995036170022
1823,Sn,refined_metal,ROW,CHN,0.0129616301062314
1823,Sn,refined_metal,ROW,EU27,0.3020388662767663
1823,Sn,refined_metal,ROW,ROW,0.6849995036170022
1823,Sn,scrap,CHN,CHN,0.0079470202985249
1823,Sn,scrap,CHN,EU27,0.6392935978287502
1823,Sn,scrap,CHN,ROW,0.3527593818727248
1823,Sn,scrap,EU27,CHN,0.0079470202985249
1823,Sn,scrap,EU27,EU27,0.6392935978287502
1823,Sn,scrap,EU27,ROW,0.3527593818727249
1823,Sn,scrap,ROW,CHN,0.0079470202985249
1823,Sn,scrap,ROW,EU27,0.6392935978287503
1823,Sn,scrap,ROW,ROW,0.3527593818727249
1823,Zn,concentrate,CHN,CHN,0.0019449369543214
1823,Zn,concentrate,CHN,EU27,0.313597368440549
1823,Zn,concentrate,CHN,ROW,0.6844576946051294
1823,Zn,concentrate,EU27,CHN,0.0019449369543214
1823,Zn,concentrate,EU27,EU27,0.3135973684405491
1823,Zn,concentrate,EU27,ROW,0.6844576946051295
1823,Zn,concentrate,ROW,CHN,0.0019449369543214
1823,Zn,concentrate,ROW,EU27,0.313597368440549
1823,Zn,concentrate,ROW,ROW,0.6844576946051295
1823,Zn,refined_metal,CHN,CHN,0.0015980478255724
1823,Zn,refined_metal,CHN,EU27,0.2889118652654983
1823,Zn,refined_metal,CHN,ROW,0.7094900869089292
1823,Zn,refined_metal,EU27,CHN,0.0015980478255724
1823,Zn,refined_metal,EU27,EU27,0.2889118652654983
1823,Zn,refined_metal,EU27,ROW,0.7094900869089293
1823,Zn,refined_metal,ROW,CHN,0.0015980478255724
1823,Zn,refined_metal,ROW,EU27,0.2889118652654983
1823,Zn,refined_metal,ROW,ROW,0.7094900869089292
1823,Zn,scrap,CHN,CHN,0.1840331778212685
1823,Zn,scrap,CHN,EU27,0.5656378354528668
1823,Zn,scrap,CHN,ROW,0.2503289867258645
1823,Zn,scrap,EU27,CHN,0.1840331778212685
1823,Zn,scrap,EU27,EU27,0.5656378354528668
1823,Zn,scrap,EU27,ROW,0.2503289867258645
1823,Zn,scrap,ROW,CHN,0.1840331778212685
1823,Zn,scrap,ROW,EU27,0.5656378354528668
1823,Zn,scrap,ROW,ROW,0.2503289867258645
1824,Ni,concentrate,CHN,CHN,0.0001016227990357
1824,Ni,concentrate,CHN,EU27,0.0040127325551739
1824,Ni,concentrate,CHN,ROW,0.9958856446457902
1824,Ni,concentrate,EU27,CHN,0.0001016227990357
1824,Ni,concentrate,EU27,EU27,0.0040127325551739
1824,Ni,concentrate,EU27,ROW,0.9958856446457902
1824,Ni,concentrate,ROW,CHN,0.0001016227990357
1824,Ni,concentrate,ROW,EU27,0.0040127325551739
1824,Ni,concentrate,ROW,ROW,0.9958856446457904
1824,Ni,refined_metal,CHN,CHN,0.0008460339668365
1824,Ni,refined_metal,CHN,EU27,0.3434938369055783
1824,Ni,refined_metal,CHN,ROW,0.6556601291275852
1824,Ni,refined_metal,EU27,CHN,0.0008460339668365
1824,Ni,refined_metal,EU27,EU27,0.3434938369055783
1824,Ni,refined_metal,EU27,ROW,0.6556601291275853
1824,Ni,refined_metal,ROW,CHN,0.0008460339668365
1824,Ni,refined_metal,ROW,EU27,0.3434938369055783
1824,Ni,refined_metal,ROW,ROW,0.6556601291275852
1824,Ni,scrap,CHN,CHN,0.004844028159137
1824,Ni,scrap,CHN,EU27,0.2911669438888353
1824,Ni,scrap,CHN,ROW,0.7039890279520276
1824,Ni,scrap,EU27,CHN,0.004844028159137
1824,Ni,scrap,EU27,EU27,0.2911669438888353
1824,Ni,scrap,EU27,ROW,0.7039890279520276
1824,Ni,scrap,ROW,CHN,0.004844028159137
1824,Ni,scrap,ROW,EU27,0.2911669438888353
1824,Ni,scrap,ROW,ROW,0.7039890279520276
1824,Sn,concentrate,CHN,CHN,0.0003794512648264
1824,Sn,concentrate,CHN,EU27,0.1265421288248722
1824,Sn,concentrate,CHN,ROW,0.8730784199103012
1824,Sn,concentrate,EU27,CHN,0.0003794512648264
1824,Sn,concentrate,EU27,EU27,0.1265421288248722
1824,Sn,concentrate,EU27,ROW,0.8730784199103012
1824,Sn,concentrate,ROW,CHN,0.0003794512648264
1824,Sn,concentrate,ROW,EU27,0.1265421288248722
1824,Sn,concentrate,ROW,ROW,0.8730784199103013
1824,Sn,refined_metal,CHN,CHN,0.0129616301062314
1824,Sn,refined_metal,CHN,EU27,0.3020388662767663
1824,Sn,refined_metal,CHN,ROW,0.6849995036170022
1824,Sn,refined_metal,EU27,CHN,0.0129616301062314
1824,Sn,refined_metal,EU27,EU27,0.3020388662767664
1824,Sn,refined_metal,EU27,ROW,0.6849995036170022
1824,Sn,refined_metal,ROW,CHN,0.0129616301062314
1824,Sn,refined_metal,ROW,EU27,0.3020388662767663
1824,Sn,refined_metal,ROW,ROW,0.6849995036170022
1824,Sn,scrap,CHN,CHN,0.0079470202985249
1824,Sn,scrap,CHN,EU27,0.6392935978287502
1824,Sn,scrap,CHN,ROW,0.3527593818727248
1824,Sn,scrap,EU27,CHN,0.0079470202985249
1824,Sn,scrap,EU27,EU27,0.6392935978287502
1824,Sn,scrap,EU27,ROW,0.3527593818727249
1824,Sn,scrap,ROW,CHN,0.0079470202985249
1824,Sn,scrap,ROW,EU27,0.6392935978287503
1824,Sn,scrap,ROW,ROW,0.3527593818727249
1824,Zn,concentrate,CHN,CHN,0.0019449369543214
1824,Zn,concentrate,CHN,EU27,0.313597368440549
1824,Zn,concentrate,CHN,ROW,0.6844576946051294
1824,Zn,concentrate,EU27,CHN,0.0019449369543214
1824,Zn,concentrate,EU27,EU27,0.3135973684405491
1824,Zn,concentrate,EU27,ROW,0.6844576946051295
1824,Zn,concentrate,ROW,CHN,0.0019449369543214
1824,Zn,concentrate,ROW,EU27,0.313597368440549
1824,Zn,concentrate,ROW,ROW,0.6844576946051295
1824,Zn,refined_metal,CHN,CHN,0.0015980478255724
1824,Zn,refined_metal,CHN,EU27,0.2889118652654983
1824,Zn,refined_metal,CHN,ROW,0.7094900869089292
1824,Zn,refined_metal,EU27,CHN,0.0015980478255724
1824,Zn,refined_metal,EU27,EU27,0.2889118652654983
1824,Zn,refined_metal,EU27,ROW,0.7094900869089293
1824,Zn,refined_metal,ROW,CHN,0.0015980478255724
1824,Zn,refined_metal,ROW,EU27,0.2889118652654983
1824,Zn,refined_metal,ROW,ROW,0.7094900869089292
1824,Zn,scrap,CHN,CHN,0.1840331778212685
1824,Zn,scrap,CHN,EU27,0.5656378354528668
1824,Zn,scrap,CHN,ROW,0.2503289867258645
1824,Zn,scrap,EU27,CHN,0.1840331778212685
1824,Zn,scrap,EU27,EU27,0.5656378354528668
1824,Zn,scrap,EU27,ROW,0.2503289867258645
1824,Zn,scrap,ROW,CHN,0.1840331778212685
1824,Zn,scrap,ROW,EU27,0.5656378354528668
1824,Zn,scrap,ROW,ROW,0.2503289867258645
1825,Ni,concentrate,CHN,CHN,0.0001016227990357
1825,Ni,concentrate,CHN,EU27,0.0040127325551739
1825,Ni,concentrate,CHN,ROW,0.9958856446457902
1825,Ni,concentrate,EU27,CHN,0.0001016227990357
1825,Ni,concentrate,EU27,EU27,0.0040127325551739
1825,Ni,concentrate,EU27,ROW,0.9958856446457902
1825,Ni,concentrate,ROW,CHN,0.0001016227990357
1825,Ni,concentrate,ROW,EU27,0.0040127325551739
1825,Ni,concentrate,ROW,ROW,0.9958856446457904
1825,Ni,refined_metal,CHN,CHN,0.0008460339668365
1825,Ni,refined_metal,CHN,EU27,0.3434938369055783
1825,Ni,refined_metal,CHN,ROW,0.6556601291275852
1825,Ni,refined_metal,EU27,CHN,0.0008460339668365
1825,Ni,refined_metal,EU27,EU27,0.3434938369055783
1825,Ni,refined_metal,EU27,ROW,0.6556601291275853
1825,Ni,refined_metal,ROW,CHN,0.0008460339668365
1825,Ni,refined_metal,ROW,EU27,0.3434938369055783
1825,Ni,refined_metal,ROW,ROW,0.6556601291275852
1825,Ni,scrap,CHN,CHN,0.004844028159137
1825,Ni,scrap,CHN,EU27,0.2911669438888353
1825,Ni,scrap,CHN,ROW,0.7039890279520276
1825,Ni,scrap,EU27,CHN,0.004844028159137
1825,Ni,scrap,EU27,EU27,0.2911669438888353
1825,Ni,scrap,EU27,ROW,0.7039890279520276
1825,Ni,scrap,ROW,CHN,0.004844028159137
1825,Ni,scrap,ROW,EU27,0.2911669438888353
1825,Ni,scrap,ROW,ROW,0.7039890279520276
1825,Sn,concentrate,CHN,CHN,0.0003794512648264
1825,Sn,concentrate,CHN,EU27,0.1265421288248722
1825,Sn,concentrate,CHN,ROW,0.8730784199103012
1825,Sn,concentrate,EU27,CHN,0.0003794512648264
1825,Sn,concentrate,EU27,EU27,0.1265421288248722
1825,Sn,concentrate,EU27,ROW,0.8730784199103012
1825,Sn,concentrate,ROW,CHN,0.0003794512648264
1825,Sn,concentrate,ROW,EU27,0.1265421288248722
1825,Sn,concentrate,ROW,ROW,0.8730784199103013
1825,Sn,refined_metal,CHN,CHN,0.0129616301062314
1825,Sn,refined_metal,CHN,EU27,0.3020388662767663
1825,Sn,refined_metal,CHN,ROW,0.6849995036170022
1825,Sn,refined_metal,EU27,CHN,0.0129616301062314
1825,Sn,refined_metal,EU27,EU27,0.3020388662767664
1825,Sn,refined_metal,EU27,ROW,0.6849995036170022
1825,Sn,refined_metal,ROW,CHN,0.0129616301062314
1825,Sn,refined_metal,ROW,EU27,0.3020388662767663
1825,Sn,refined_metal,ROW,ROW,0.6849995036170022
1825,Sn,scrap,CHN,CHN,0.0079470202985249
1825,Sn,scrap,CHN,EU27,0.6392935978287502
1825,Sn,scrap,CHN,ROW,0.3527593818727248
1825,Sn,scrap,EU27,CHN,0.0079470202985249
1825,Sn,scrap,EU27,EU27,0.6392935978287502
1825,Sn,scrap,EU27,ROW,0.3527593818727249
1825,Sn,scrap,ROW,CHN,0.0079470202985249
1825,Sn,scrap,ROW,EU27,0.6392935978287503
1825,Sn,scrap,ROW,ROW,0.3527593818727249
1825,Zn,concentrate,CHN,CHN,0.0019449369543214
1825,Zn,concentrate,CHN,EU27,0.313597368440549
1825,Zn,concentrate,CHN,ROW,0.6844576946051294
1825,Zn,concentrate,EU27,CHN,0.0019449369543214
1825,Zn,concentrate,EU27,EU27,0.3135973684405491
1825,Zn,concentrate,EU27,ROW,0.6844576946051295
1825,Zn,concentrate,ROW,CHN,0.0019449369543214
1825,Zn,concentrate,ROW,EU27,0.313597368440549
1825,Zn,concentrate,ROW,ROW,0.6844576946051295
1825,Zn,refined_metal,CHN,CHN,0.0015980478255724
1825,Zn,refined_metal,CHN,EU27,0.2889118652654983
1825,Zn,refined_metal,CHN,ROW,0.7094900869089292
1825,Zn,refined_metal,EU27,CHN,0.0015980478255724
1825,Zn,refined_metal,EU27,EU27,0.2889118652654983
1825,Zn,refined_metal,EU27,ROW,0.7094900869089293
1825,Zn,refined_metal,ROW,CHN,0.0015980478255724
1825,Zn,refined_metal,ROW,EU27,0.2889118652654983
1825,Zn,refined_metal,ROW,ROW,0.7094900869089292
1825,Zn,scrap,CHN,CHN,0.1840331778212685
1825,Zn,scrap,CHN,EU27,0.5656378354528668
1825,Zn,scrap,CHN,ROW,0.2503289867258645
1825,Zn,scrap,EU27,CHN,0.1840331778212685
1825,Zn,scrap,EU27,EU27,0.5656378354528668
